data: 
67.845970.01256189,1.219333,0.1613405,-0.009864978,1.241061,0.1744655,-0.02688569,1.261181,0.1896413,-0.03512184,1.275734,0.2062677,0.01604559,1.272677,0.1721423,0.01108193,1.3048,0.1944675,0.006935205,1.323949,0.212332,0.003456026,1.337277,0.2267902,0.03729546,1.271257,0.1779671,0.03303938,1.313253,0.1978426,0.0276673,1.338054,0.213243,0.02281583,1.355733,0.2258628,0.0526402,1.266624,0.1844699,0.0513618,1.308393,0.2006705,0.04895482,1.330432,0.2133422,0.04572401,1.347197,0.223515,0.06640309,1.257144,0.189143,0.07282421,1.282113,0.2029862,0.07384847,1.299346,0.2171677,0.07212301,1.312077,0.2293032,0.03728541,1.253911,0.1743474,
67.859150.01274209,1.219315,0.1609273,-0.009684592,1.241035,0.1740748,-0.02670391,1.261146,0.1892613,-0.03493623,1.27569,0.2058941,0.01622901,1.272662,0.1717361,0.01128849,1.304767,0.1941079,0.007153444,1.323897,0.2120069,0.003681906,1.337209,0.2264898,0.03747703,1.271241,0.1775642,0.03324302,1.31323,0.197464,0.0278874,1.338017,0.2128836,0.02304791,1.355688,0.2255191,0.05282031,1.266606,0.1840694,0.05153672,1.308372,0.2002801,0.04913066,1.3304,0.2129557,0.04590099,1.34716,0.2231331,0.06658127,1.257123,0.1887437,0.07300078,1.282087,0.2025919,0.07402395,1.299316,0.2167793,0.0722981,1.312047,0.2289199,0.03746555,1.253894,0.1739432,
67.869690.01292434,1.219241,0.1603607,-0.009488229,1.240952,0.1735412,-0.02649331,1.261043,0.1887467,-0.03471166,1.27556,0.2053959,0.01643439,1.272593,0.1711852,0.01153998,1.304666,0.1936355,0.007428892,1.323758,0.2116168,0.003970202,1.337031,0.2261683,0.03767712,1.27116,0.1770228,0.03349476,1.313133,0.1969748,0.02817457,1.337896,0.2124434,0.02335953,1.355547,0.2251187,0.05301321,1.266515,0.1835345,0.05174638,1.308269,0.1997739,0.04935184,1.330279,0.2124671,0.04613093,1.347024,0.2226595,0.06676422,1.257022,0.1882144,0.07319242,1.281975,0.2020756,0.07422412,1.299194,0.2162737,0.07250389,1.311918,0.2284199,0.03765631,1.253811,0.1733991,
67.880910.01321813,1.219203,0.1597387,-0.009165989,1.240894,0.1729599,-0.02615241,1.260942,0.1881925,-0.03436172,1.275417,0.2048544,0.0167554,1.272561,0.1705566,0.01189662,1.304599,0.1930908,0.007800519,1.323648,0.2111388,0.004351523,1.336883,0.2257363,0.0379949,1.271116,0.1763992,0.03385493,1.313079,0.1963809,0.02855767,1.337826,0.2118708,0.02375878,1.355464,0.22456,0.05332638,1.266464,0.1829138,0.05208029,1.30821,0.1991553,0.04969874,1.330205,0.2118464,0.04648866,1.346939,0.2220345,0.06706893,1.256961,0.1875984,0.07348348,1.281915,0.2014599,0.07450482,1.299139,0.2156534,0.07277906,1.311868,0.2277896,0.03796419,1.253765,0.1727777,
67.893180.01340055,1.219081,0.1592797,-0.008964075,1.240754,0.1725488,-0.02594513,1.260771,0.1878021,-0.03416625,1.275224,0.2044682,0.01694084,1.272436,0.1701549,0.01211074,1.304439,0.1927495,0.008028604,1.323457,0.210826,0.004587773,1.336671,0.2254406,0.03817422,1.270985,0.1760127,0.03403784,1.312926,0.1960287,0.02874263,1.337648,0.2115371,0.0239459,1.355273,0.2242395,0.05349771,1.266323,0.1825366,0.05224664,1.308065,0.1987697,0.04986804,1.330057,0.2114481,0.04666199,1.346794,0.221624,0.06723288,1.256811,0.1872239,0.07361741,1.281762,0.2011016,0.07462519,1.298988,0.2152941,0.07289571,1.311719,0.2274222,0.03814071,1.253633,0.1723761,
67.902790.01361344,1.219048,0.1587783,-0.008735944,1.240728,0.1720657,-0.02571035,1.260751,0.1873308,-0.03393319,1.275212,0.2040019,0.01716391,1.272407,0.1696634,0.01236807,1.304383,0.1923111,0.008309651,1.323386,0.2104158,0.004886121,1.336596,0.2250521,0.03839168,1.27095,0.1755311,0.03425979,1.312872,0.1955833,0.02896802,1.33757,0.2111195,0.02417315,1.355179,0.2238437,0.05370948,1.266284,0.1820614,0.0524695,1.308025,0.198288,0.05010178,1.330012,0.2109551,0.04690528,1.34675,0.2211229,0.06744015,1.256767,0.1867525,0.07379134,1.281728,0.2006328,0.07478246,1.298963,0.2148169,0.07304974,1.311701,0.2269325,0.03835462,1.253597,0.1718919,
67.912510.01383235,1.219007,0.1582989,-0.008515734,1.240701,0.1716161,-0.02549187,1.260743,0.1869026,-0.03372153,1.275223,0.2035966,0.01737712,1.272369,0.169195,0.01261001,1.304317,0.191897,0.008579023,1.323312,0.2100147,0.005177971,1.336531,0.224659,0.03860204,1.270916,0.1750639,0.03446257,1.312826,0.1951408,0.02917695,1.337515,0.2106815,0.02439051,1.355126,0.2234119,0.05391925,1.266251,0.1815937,0.05269726,1.307985,0.1978285,0.05034957,1.329962,0.2104909,0.04717616,1.346697,0.220657,0.0676523,1.256736,0.1862811,0.0739712,1.281703,0.2001728,0.07494384,1.298943,0.2143563,0.07320388,1.311682,0.2264639,0.03856689,1.253562,0.1714207,
67.922290.01398123,1.218821,0.1577067,-0.008367207,1.240526,0.1710498,-0.02534596,1.260584,0.1863609,-0.03357278,1.275076,0.2030808,0.01753091,1.272183,0.1686165,0.01278262,1.304087,0.1913802,0.008771971,1.323068,0.209513,0.005388372,1.336292,0.2241673,0.03875343,1.270729,0.1744872,0.03460448,1.31262,0.1946068,0.02932948,1.337305,0.2101522,0.0245572,1.354923,0.2228837,0.05406992,1.266062,0.181016,0.05287084,1.307771,0.1972967,0.05055081,1.329724,0.2099771,0.04740581,1.346446,0.2201572,0.06780358,1.256545,0.1856992,0.07408406,1.281512,0.1996129,0.07502861,1.298751,0.2138028,0.07327196,1.311486,0.225906,0.03871736,1.253375,0.1708383,
67.93930.01421482,1.218667,0.1569307,-0.008139398,1.240375,0.1702656,-0.02512917,1.260444,0.1855554,-0.03336585,1.274943,0.2022652,0.01776639,1.272021,0.1678929,0.01302043,1.303853,0.1907323,0.009020824,1.322805,0.2088684,0.005645581,1.336025,0.2235287,0.03898758,1.270564,0.1737668,0.03479426,1.312428,0.193905,0.02951913,1.337104,0.2094321,0.02476248,1.354733,0.2221536,0.05430538,1.265893,0.1802911,0.05310937,1.307566,0.1965741,0.05080824,1.329494,0.2092357,0.04768396,1.346206,0.2194024,0.0680414,1.256371,0.1849618,0.07428151,1.281325,0.1988985,0.07520202,1.298558,0.2130909,0.07343438,1.311286,0.2251874,0.03895126,1.253213,0.1700993,
67.957810.01444073,1.218657,0.1564827,-0.007903066,1.240353,0.1697829,-0.02489891,1.260411,0.1849934,-0.03315607,1.274905,0.2016342,0.01799186,1.272004,0.1674875,0.01324164,1.303806,0.1903611,0.009240765,1.322727,0.2085109,0.005864821,1.335917,0.223182,0.03921196,1.270546,0.1733609,0.03499442,1.312418,0.1934694,0.02971664,1.337103,0.2089606,0.02496838,1.354742,0.2216487,0.05453059,1.26587,0.1798808,0.0533264,1.307532,0.1961461,0.05102934,1.329455,0.2087852,0.04791304,1.346165,0.2189318,0.06826736,1.256343,0.1845415,0.07450971,1.281274,0.1984915,0.07543439,1.298497,0.2126954,0.07366863,1.311214,0.2247994,0.03917524,1.253195,0.1696794,
